openbsd-netcat 1.226_1-2
opencc 1.1.7-1
opencollada 1:1.6.68-3
opencolorio 2.3.1-2
opencore-amr 0.1.6-1
opencv 4.9.0-2
openexr 3.2.2-1
openimagedenoise 2.2.0-1
openimageio 2.5.7.0-1
openjpeg2 2.5.0-3
openmpi 5.0.2-3
openpgl 0.6.0-1
openpmix 4.2.9-1
openshadinglanguage 1.13.6.1-2
openssh 9.6p1-3
openssl 3.2.1-1
openssl-1.1 1.1.1.w-1
opensubdiv 3.6.0-1
openucx 1.15.0-2
openvdb 11.0.0-1
openxr 1.0.33-1
opus 1.4-1
orc 0.4.37-1
osinfo-db 20231215-1
oxygen 5.27.10-1
oxygen-sounds 5.27.10-1
p11-kit 0.25.3-1
p7zip-natspec 17.05-1
pacman 6.0.2-9
pacman-contrib 1.10.4-1
pacman-mirrorlist 20231001-1
pahole 1:1.25-4
pam 1.6.0-4
pambase 20230918-1
pango 1:1.51.2-1
pangomm 2.46.4-1
parted 3.6-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.2-1
perl-error 0.17029-5
perl-libintl-perl 1.33-2
perl-mailtools 2.21-7
perl-timedate 2.33-5
phodav 3.0-2
phonon-qt5 4.12.0-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-3
pipewire 1:1.0.3-1
pipewire-audio 1:1.0.3-1
pipewire-pulse 1:1.0.3-1
pipewire-session-manager 1:1.0.3-1
pixman 0.43.2-1
pkgconf 2.1.0-2
plasma-browser-integration 5.27.10-1
plasma-desktop 5.27.10-1
plasma-disks 5.27.10-1
plasma-firewall 5.27.10-1
plasma-framework5 5.115.0-1
plasma-integration 5.27.10-1
plasma-meta 5.27-4
plasma-nm 5.27.10-1
plasma-pa 5.27.10-1
plasma-systemmonitor 5.27.10-1
